Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;10;10;11;10;10
1;9;10;10;10;10
2;9;10;11;10;10
3;9;10;12;10;10
4;9;10;11;10;10
5;9;10;10;9;9
6;9;10;10;10;9
7;9;10;11;11;9
8;10;11;12;12;9
9;11;12;13;11;9
10;10;11;12;12;9
11;11;12;13;13;9
12;12;12;14;12;9
13;11;12;13;11;9
14;10;11;12;10;9
15;9;11;11;10;9
16;9;10;11;10;9
17;9;10;11;11;9
18;10;11;12;12;9
19;11;12;13;11;9
20;10;11;12;11;9
21;10;11;12;12;9
22;11;12;13;13;9
23;12;13;14;14;9
24;13;13;15;13;9
25;12;13;14;12;9
26;11;12;13;11;9
27;10;11;12;10;9
28;9;10;11;9;9
29;9;10;10;10;9
30;9;10;11;11;9
31;10;11;12;10;9
32;9;10;11;9;9
33;9;10;10;10;9
34;9;10;11;9;9
35;9;10;10;10;9
36;9;10;11;11;9
37;10;11;12;12;9
38;11;12;13;11;9
39;10;11;12;10;9
40;9;10;11;9;9
41;9;10;10;9;9
42;9;9;10;10;9
43;9;10;11;9;9
44;9;10;10;10;9
45;9;10;11;9;9
46;9;9;10;9;9
47;9;10;11;10;9
48;9;10;12;11;9
49;10;11;13;12;9
50;11;12;14;11;9
51;10;11;13;10;9
52;9;10;12;11;9
53;10;11;13;10;9
54;9;10;12;9;9
55;9;10;11;10;9
56;9;10;12;9;9
57;9;10;11;9;9
58;9;9;10;9;9
59;9;10;11;11;9
60;9;11;12;10;9
61;9;11;11;9;9
62;9;10;10;10;9
63;9;10;11;11;9
64;10;11;12;10;9
65;9;10;11;11;9
66;10;11;12;12;9
67;11;12;13;13;9
68;12;12;14;12;9
69;11;12;13;11;9
70;10;11;12;10;9
71;9;10;11;9;9
72;9;10;10;9;9
73;9;10;10;9;9
74;9;10;11;9;9
75;9;9;10;9;9
76;9;10;11;10;9
77;9;10;11;11;9
78;10;11;12;12;9
79;11;11;13;11;9
80;10;11;12;10;9
81;9;10;11;11;9
82;10;11;12;10;9
83;9;10;12;10;9
84;9;10;11;9;9
85;9;10;10;9;9
86;9;10;11;10;9
87;9;10;11;9;9
88;9;10;10;9;9
89;9;10;11;10;9
90;9;10;11;11;9
91;10;11;12;10;9
92;9;10;11;11;9
93;10;11;12;10;9
94;9;10;11;9;9
95;9;10;11;9;9
96;9;10;10;10;9
97;9;10;11;10;9
98;10;10;11;10;9
99;9;10;11;9;9
