Numer iteracji;Najlepszy;Sredni;Najgorszy
0;9;12;14
1;9;12;15
2;9;12;15
3;9;12;14
4;9;12;14
5;9;12;14
6;9;12;14
7;9;12;14
8;9;11;13
9;9;11;13
10;9;12;14
11;9;12;14
12;9;12;15
13;9;12;14
14;9;12;14
15;9;12;15
16;9;12;14
17;9;11;13
18;9;12;14
19;9;12;14
20;9;12;14
21;9;11;13
22;9;12;14
23;9;12;14
24;9;12;14
25;9;11;13
26;9;11;13
27;9;11;13
28;9;11;13
29;9;12;14
30;9;11;13
31;9;12;14
32;9;12;15
33;9;11;13
34;9;11;13
35;9;12;14
36;9;12;14
37;9;12;15
38;9;12;14
39;9;12;15
40;9;12;14
41;9;12;14
42;9;11;13
43;9;12;14
44;9;11;13
45;9;11;13
46;9;12;14
47;9;11;13
48;9;11;13
49;9;12;14
50;9;11;13
51;9;12;14
52;9;12;14
53;9;12;14
54;9;12;14
55;9;11;13
56;9;12;14
57;9;12;14
58;9;12;14
59;9;12;14
60;9;12;14
61;9;11;13
62;9;12;14
63;9;12;14
64;9;12;14
65;9;12;14
66;9;11;13
67;9;11;13
68;9;11;13
69;9;12;14
70;9;11;13
71;9;12;14
72;9;11;13
73;9;12;14
74;9;11;13
75;9;11;13
76;9;12;14
77;9;11;13
78;9;12;14
79;9;11;13
80;9;12;14
81;9;12;14
82;9;12;15
83;9;12;14
84;9;12;14
85;9;12;14
86;9;12;14
87;9;12;14
88;9;11;13
89;9;11;13
90;9;11;13
91;9;11;13
92;9;12;14
93;9;12;15
94;9;12;16
95;9;12;15
96;9;12;14
97;9;12;14
98;9;11;13
99;9;11;13
100;9;11;13
