Numer iteracji;Najlepszy;Sredni;Najgorszy
0;46;64;84
1;46;59;74
2;46;54;64
3;46;51;59
4;46;51;56
5;46;52;58
6;46;50;54
7;46;50;56
8;46;50;56
9;46;50;53
10;46;49;52
11;46;50;56
12;46;50;56
13;46;49;52
14;46;49;51
15;46;51;57
16;46;49;52
17;46;49;51
18;46;51;57
19;46;49;52
20;46;50;56
21;46;50;56
22;46;50;56
23;46;49;52
24;46;50;53
25;46;50;56
26;46;50;56
27;46;51;57
28;46;50;56
29;46;49;54
30;46;50;56
31;46;50;56
32;46;49;51
33;46;49;51
34;46;50;54
35;46;50;56
36;46;50;53
37;46;50;56
38;46;49;51
39;46;51;57
40;46;50;57
41;46;49;51
42;46;49;52
43;46;50;57
44;46;50;55
45;46;50;56
46;46;50;55
47;46;50;54
48;46;50;56
49;46;49;55
50;46;49;52
51;46;51;57
52;46;49;51
53;46;49;51
54;46;49;52
55;46;50;56
56;46;50;53
57;46;50;55
58;46;50;57
59;46;49;51
60;46;50;57
61;46;50;54
62;46;49;52
63;46;50;53
64;46;50;56
65;46;50;55
66;46;50;55
67;46;51;56
68;46;50;56
69;46;49;51
70;46;49;52
71;46;51;57
72;46;51;58
73;46;50;55
74;46;49;52
75;46;49;52
76;46;49;51
77;46;49;52
78;46;49;53
79;46;49;55
80;46;49;52
81;46;50;56
82;46;49;52
83;46;49;51
84;46;50;53
85;46;51;59
86;46;50;57
87;46;50;56
88;46;51;57
89;46;51;56
90;46;50;57
91;46;50;58
92;46;49;52
93;46;50;55
94;46;50;56
95;46;50;57
96;46;49;51
97;46;50;56
98;46;50;56
99;46;49;51
100;46;50;57
