Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;9
1;58
2;106
3;122
4;124
5;93
6;76
7;78
8;49
9;38
10;33
11;32
12;23
13;18
14;16
15;16
16;10
17;9
18;10
19;8
20;2
21;3
22;3
23;3
24;2
25;3
26;2
27;7
28;3
29;1
30;4
31;0
32;1
33;1
34;2
35;1
36;2
37;1
38;0
39;3
40;3
41;2
42;1
43;0
44;1
45;0
46;1
47;1
48;2
49;2
50;1
51;0
52;0
53;0
54;1
55;0
56;2
57;2
58;1
59;0
60;0
61;0
62;0
63;0
64;0
65;1
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;1
74;0
75;0
76;0
77;1
78;0
79;0
80;0
81;0
82;0
83;0
84;0
85;0
86;0
87;0
88;1
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
