Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;10
1;33
2;63
3;81
4;84
5;89
6;88
7;89
8;59
9;46
10;43
11;49
12;39
13;37
14;24
15;19
16;17
17;14
18;16
19;9
20;9
21;9
22;8
23;3
24;8
25;7
26;4
27;4
28;1
29;2
30;6
31;0
32;2
33;5
34;0
35;1
36;1
37;0
38;0
39;0
40;3
41;1
42;2
43;0
44;1
45;0
46;0
47;1
48;0
49;2
50;0
51;2
52;0
53;0
54;0
55;0
56;0
57;1
58;0
59;0
60;0
61;1
62;1
63;0
64;0
65;0
66;0
67;1
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;1
77;0
78;0
79;1
80;0
81;0
82;0
83;0
84;0
85;1
86;0
87;0
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;1
96;0
97;0
98;0
99;0
