Numer iteracji;Najlepszy;Sredni;Najgorszy
0;9;12;15
1;9;12;14
2;9;11;12
3;9;10;11
4;9;10;11
5;9;10;11
6;9;11;12
7;9;10;11
8;9;10;11
9;9;10;10
10;9;10;11
11;9;10;10
12;9;10;11
13;9;10;10
14;9;10;10
15;9;10;10
16;9;10;11
17;9;10;10
18;9;10;11
19;9;10;10
20;9;10;10
21;9;10;10
22;9;10;10
23;9;10;11
24;9;10;11
25;9;10;11
26;9;10;11
27;9;10;10
28;9;10;10
29;9;10;11
30;9;10;11
31;9;10;10
32;9;10;10
33;9;10;11
34;9;10;10
35;9;10;11
36;9;10;10
37;9;10;10
38;9;11;12
39;9;10;11
40;9;10;10
41;9;10;11
42;9;10;10
43;9;10;11
44;9;10;11
45;9;10;10
46;9;10;11
47;9;10;11
48;9;10;10
49;9;10;11
50;9;10;10
51;9;10;11
52;9;10;10
53;9;10;11
54;9;10;10
55;9;10;11
56;9;10;11
57;9;10;11
58;9;10;10
59;9;10;11
60;9;10;11
61;9;10;11
62;9;10;11
63;9;10;11
64;9;10;10
65;9;10;11
66;9;10;10
67;9;10;11
68;9;10;10
69;9;10;10
70;9;10;11
71;9;10;10
72;9;10;11
73;9;10;10
74;9;10;11
75;9;10;10
76;9;10;11
77;9;10;10
78;9;10;10
79;9;10;11
80;9;10;11
81;9;10;10
82;9;10;11
83;9;10;11
84;9;10;11
85;9;10;11
86;9;10;11
87;9;10;12
88;9;10;11
89;9;11;12
90;9;10;11
91;9;10;10
92;9;10;11
93;9;10;11
94;9;11;12
95;9;10;11
96;9;10;11
97;9;10;11
98;9;10;11
99;9;10;10
100;9;10;10
