Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;3
1;51
2;125
3;155
4;130
5;93
6;73
7;48
8;37
9;37
10;26
11;25
12;12
13;11
14;11
15;16
16;10
17;6
18;9
19;3
20;3
21;7
22;7
23;3
24;5
25;6
26;3
27;2
28;6
29;3
30;2
31;2
32;3
33;3
34;1
35;2
36;1
37;4
38;4
39;0
40;3
41;1
42;1
43;1
44;5
45;3
46;2
47;0
48;1
49;0
50;0
51;0
52;2
53;2
54;0
55;2
56;0
57;1
58;0
59;0
60;1
61;0
62;1
63;2
64;2
65;1
66;0
67;0
68;0
69;1
70;1
71;0
72;2
73;0
74;0
75;1
76;0
77;0
78;0
79;0
80;0
81;1
82;0
83;0
84;0
85;0
86;1
87;0
88;1
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
