Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;88;92;96;88;88
1;84;88;92;84;84
2;80;86;88;80;80
3;84;84;85;84;80
4;80;84;89;80;80
5;84;84;85;84;80
6;80;84;89;80;80
7;84;84;85;84;80
8;80;84;89;80;80
9;84;84;85;84;80
10;80;85;89;81;80
11;84;85;89;84;80
12;80;84;88;80;80
13;84;84;85;84;80
14;80;84;89;80;80
15;84;84;85;84;80
16;80;84;88;80;80
17;84;84;85;85;80
18;80;85;89;89;80
19;84;89;93;85;80
20;80;85;90;89;80
21;84;89;93;85;80
22;82;87;89;82;80
23;84;85;86;84;80
24;80;84;88;88;80
25;84;88;92;89;80
26;85;89;93;85;80
27;84;88;93;89;80
28;85;91;93;85;80
29;84;87;89;89;80
30;85;91;93;85;80
31;84;87;89;85;80
32;81;86;90;88;80
33;84;89;93;92;80
34;88;92;96;96;80
35;92;95;100;100;80
36;96;99;104;96;80
37;92;95;100;100;80
38;96;99;104;96;80
39;92;95;100;92;80
40;88;92;96;93;80
41;89;93;97;89;80
42;85;89;93;89;80
43;85;90;93;85;80
44;81;86;89;89;80
45;85;89;93;85;80
46;81;86;89;85;80
47;84;86;89;85;80
48;81;88;93;81;80
49;84;85;89;84;80
50;80;85;88;80;80
51;84;84;84;84;80
52;80;85;88;80;80
53;84;84;84;84;80
54;80;84;88;80;80
55;84;84;84;84;80
56;80;84;88;80;80
57;84;84;85;84;80
58;80;84;88;85;80
59;84;87;89;85;80
60;81;87;89;89;80
61;85;89;93;89;80
62;85;89;93;85;80
63;84;88;89;89;80
64;85;89;93;90;80
65;86;90;94;94;80
66;90;93;98;98;80
67;94;97;102;94;80
68;90;93;98;90;80
69;86;90;94;94;80
70;90;93;98;90;80
71;86;90;94;86;80
72;85;89;90;88;80
73;84;89;92;86;80
74;85;89;90;90;80
75;86;90;94;94;80
76;90;93;98;90;80
77;86;90;94;86;80
78;85;89;90;85;80
79;84;86;89;84;80
80;81;87;90;85;80
81;84;86;89;84;80
82;81;87;90;85;80
83;84;86;89;84;80
84;81;87;90;86;80
85;84;88;94;86;80
86;85;88;98;88;80
87;84;88;94;92;80
88;88;92;96;88;80
89;84;88;92;84;80
90;80;86;88;85;80
91;84;86;89;84;80
92;80;86;88;85;80
93;84;87;93;89;80
94;85;89;97;85;80
95;84;87;93;86;80
96;81;88;94;89;80
97;84;90;97;89;80
98;85;89;93;93;80
99;89;93;97;89;80
