Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;84;88;94;92;88
1;88;92;96;96;88
2;92;95;101;100;88
3;96;99;105;104;88
4;100;103;109;100;88
5;96;99;105;96;88
6;92;96;101;92;88
7;88;92;97;93;88
8;89;94;97;89;88
9;85;89;93;85;85
10;84;86;89;84;84
11;81;86;88;85;84
12;84;87;89;89;84
13;85;89;93;85;84
14;84;87;89;84;84
15;80;86;88;85;84
16;84;86;89;84;84
17;80;86;88;85;84
18;84;86;89;84;84
19;80;86;88;88;84
20;84;88;92;84;84
21;80;86;89;88;84
22;84;89;93;84;84
23;80;86;89;88;84
24;84;89;93;84;84
25;80;86;89;85;84
26;84;86;89;84;84
27;80;86;88;88;84
28;84;88;92;84;84
29;80;86;88;85;84
30;84;87;89;85;84
31;81;88;89;88;84
32;84;89;92;92;84
33;88;92;96;88;84
34;84;88;92;89;84
35;85;89;93;93;84
36;89;92;97;97;84
37;93;96;101;93;84
38;89;94;101;89;84
39;85;90;97;85;84
40;84;87;93;84;84
41;80;85;89;80;80
42;84;84;85;84;80
43;80;84;88;80;80
44;84;84;84;84;80
45;80;84;88;80;80
46;84;84;84;84;80
47;80;84;88;80;80
48;84;84;84;84;80
49;80;84;88;88;80
50;84;88;92;92;80
51;88;92;96;88;80
52;84;88;92;84;80
53;80;84;88;80;80
54;84;84;85;84;80
55;80;86;88;80;80
56;84;84;85;84;80
57;80;86;88;85;80
58;84;86;90;84;80
59;80;86;88;85;80
60;84;86;90;89;80
61;85;89;93;85;80
62;84;87;93;84;80
63;80;84;88;80;80
64;84;84;84;84;80
65;80;84;88;80;80
66;84;84;84;84;80
67;80;86;88;85;80
68;84;86;89;84;80
69;80;86;88;88;80
70;84;89;92;89;80
71;85;89;93;88;80
72;84;89;92;84;80
73;80;86;88;80;80
74;84;84;84;84;80
75;80;85;88;81;80
76;84;84;85;85;80
77;81;87;89;89;80
78;85;89;93;90;80
79;86;91;94;86;80
80;84;88;90;84;80
81;81;86;88;85;80
82;84;86;90;84;80
83;80;86;88;85;80
84;84;89;89;89;80
85;85;89;93;91;80
86;84;90;95;95;80
87;85;93;99;91;80
88;84;90;95;89;80
89;85;90;93;85;80
90;84;89;89;84;80
91;80;86;88;85;80
92;84;86;89;84;80
93;80;86;88;85;80
94;84;86;89;84;80
95;80;86;88;80;80
96;84;84;84;84;80
97;80;84;88;80;80
98;84;84;84;84;80
99;80;84;88;80;80
