Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;47;51;58;47;47
1;46;51;57;46;46
2;47;51;56;47;46
3;46;51;57;50;46
4;47;52;60;47;46
5;46;51;57;48;46
6;47;51;58;47;46
7;46;51;57;50;46
8;47;52;60;53;46
9;49;54;63;50;46
10;47;52;60;55;46
11;50;55;65;58;46
12;53;57;68;53;46
13;49;54;63;49;46
14;48;53;59;48;46
15;47;52;58;49;46
16;48;53;59;48;46
17;47;52;58;53;46
18;48;55;63;52;46
19;49;54;62;49;46
20;48;52;59;50;46
21;49;53;60;49;46
22;48;52;59;50;46
23;49;53;60;49;46
24;48;52;59;48;46
25;47;52;58;53;46
26;48;55;63;48;46
27;47;52;58;49;46
28;48;52;59;48;46
29;47;52;58;53;46
30;48;55;63;48;46
31;47;52;58;56;46
32;48;56;66;61;46
33;53;60;71;55;46
34;50;56;63;50;46
35;49;52;58;49;46
36;48;52;59;48;46
37;49;52;58;53;46
38;48;55;63;56;46
39;51;57;66;66;46
40;56;63;71;66;46
41;56;63;71;56;46
42;51;57;66;51;46
43;51;53;61;54;46
44;51;55;64;51;46
45;48;53;61;48;46
46;47;51;58;49;46
47;46;51;59;54;46
48;49;55;64;59;46
49;54;59;69;60;46
50;55;60;70;57;46
51;52;59;67;52;46
52;47;54;62;55;46
53;50;55;65;58;46
54;53;57;68;53;46
55;49;54;63;49;46
56;50;53;59;50;46
57;49;53;60;53;46
58;49;54;63;58;46
59;52;57;68;55;46
60;50;56;65;50;46
61;49;53;60;53;46
62;49;54;63;49;46
63;46;51;59;46;46
64;47;51;56;51;46
65;46;54;61;54;46
66;49;55;64;53;46
67;48;54;63;56;46
68;51;56;66;51;46
69;48;53;61;56;46
70;51;56;66;66;46
71;56;64;76;56;46
72;51;56;66;51;46
73;48;53;61;61;46
74;51;60;71;66;46
75;56;64;76;69;46
76;59;66;79;59;46
77;51;58;69;51;46
78;48;55;64;48;46
79;49;52;61;51;46
80;48;55;64;54;46
81;51;56;64;58;46
82;53;58;65;53;46
83;51;54;60;52;46
84;49;53;62;49;46
85;46;51;59;50;46
86;47;52;60;47;46
87;46;51;57;48;46
88;47;51;58;58;46
89;48;58;68;55;46
90;47;55;65;52;46
91;50;54;62;55;46
92;47;55;65;52;46
93;50;54;62;50;46
94;47;52;60;47;46
95;46;51;57;46;46
96;47;51;56;49;46
97;46;51;59;59;46
98;49;58;69;64;46
99;54;62;74;61;46
