Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;63;70;78;76;73
1;66;73;81;66;66
2;56;64;76;56;56
3;53;56;66;57;56
4;52;57;67;56;56
5;53;56;66;53;53
6;50;54;63;50;50
7;47;52;60;60;50
8;50;59;70;70;50
9;60;68;75;60;50
10;50;59;70;59;50
11;49;59;69;62;50
12;52;61;72;52;50
13;49;53;62;49;49
14;46;51;59;46;46
15;47;51;56;49;46
16;46;51;59;46;46
17;47;51;56;47;46
18;46;51;57;46;46
19;47;51;56;47;46
20;46;51;57;46;46
21;47;51;56;47;46
22;46;51;57;50;46
23;47;52;60;47;46
24;46;51;57;52;46
25;47;54;62;55;46
26;50;55;65;50;46
27;47;52;60;53;46
28;50;54;63;56;46
29;51;57;66;53;46
30;50;54;63;52;46
31;49;54;62;55;46
32;52;56;65;52;46
33;49;53;62;49;46
34;46;51;59;46;46
35;47;51;56;47;46
36;46;51;57;46;46
37;47;51;56;47;46
38;46;51;57;48;46
39;47;51;58;47;46
40;46;51;57;52;46
41;47;54;62;47;46
42;46;51;57;55;46
43;47;55;65;47;46
44;46;51;57;46;46
45;47;51;56;47;46
46;46;51;57;46;46
47;47;51;56;49;46
48;46;51;59;53;46
49;49;54;63;56;46
50;53;57;66;53;46
51;50;55;63;50;46
52;49;53;60;53;46
53;49;54;63;50;46
54;49;53;60;55;46
55;50;56;65;58;46
56;53;58;68;61;46
57;51;59;71;56;46
58;46;56;66;46;46
59;47;51;56;56;46
60;46;56;66;46;46
61;47;51;56;49;46
62;46;51;59;46;46
63;47;51;56;56;46
64;46;56;66;46;46
65;47;51;56;51;46
66;46;53;61;52;46
67;49;54;62;49;46
68;46;51;59;52;46
69;49;54;62;62;46
70;52;60;72;65;46
71;55;63;75;62;46
72;52;61;72;65;46
73;55;64;75;55;46
74;47;55;65;52;46
75;49;53;62;49;46
76;46;51;59;52;46
77;49;54;62;58;46
78;52;57;68;52;46
79;49;54;62;49;46
80;46;51;59;59;46
81;49;58;69;56;46
82;46;56;66;46;46
83;47;51;56;47;46
84;46;51;57;48;46
85;47;51;58;47;46
86;46;51;57;46;46
87;47;51;56;49;46
88;46;51;59;59;46
89;49;58;69;49;46
90;46;51;59;46;46
91;47;51;56;56;46
92;46;56;66;57;46
93;47;57;67;60;46
94;50;59;70;59;46
95;49;58;69;58;46
96;48;58;68;68;46
97;58;67;73;65;46
98;55;64;70;62;46
99;52;61;67;67;46
