Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;20
1;54
2;60
3;62
4;61
5;57
6;56
7;44
8;54
9;34
10;42
11;37
12;28
13;38
14;20
15;24
16;16
17;21
18;15
19;17
20;21
21;17
22;13
23;19
24;14
25;9
26;8
27;6
28;9
29;7
30;11
31;9
32;11
33;5
34;11
35;5
36;6
37;4
38;3
39;5
40;3
41;2
42;3
43;1
44;5
45;3
46;0
47;3
48;2
49;1
50;2
51;2
52;0
53;1
54;2
55;0
56;0
57;2
58;0
59;0
60;0
61;1
62;2
63;1
64;0
65;1
66;1
67;0
68;0
69;2
70;0
71;0
72;2
73;1
74;0
75;0
76;1
77;0
78;0
79;0
80;1
81;1
82;1
83;0
84;0
85;0
86;0
87;0
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
