Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;51;56;66;59;56
1;54;58;69;54;54
2;51;55;64;51;51
3;48;53;61;48;48
4;47;51;58;47;47
5;46;51;57;50;47
6;47;52;60;47;47
7;46;51;57;48;47
8;47;51;58;47;47
9;46;51;57;48;47
10;47;51;58;58;47
11;48;58;68;63;47
12;53;61;73;53;47
13;48;54;63;48;47
14;47;51;58;47;47
15;46;51;57;46;46
16;47;51;56;49;46
17;46;51;59;46;46
18;47;51;56;49;46
19;46;51;59;48;46
20;47;51;58;47;46
21;46;51;57;48;46
22;47;51;58;54;46
23;48;55;64;51;46
24;51;54;61;54;46
25;48;55;64;51;46
26;51;54;61;54;46
27;48;55;64;57;46
28;47;57;67;54;46
29;48;55;64;51;46
30;48;53;61;50;46
31;49;53;62;51;46
32;48;53;61;61;46
33;51;61;66;51;46
34;50;53;61;54;46
35;48;55;64;53;46
36;49;54;63;49;46
37;46;51;59;52;46
38;49;54;62;51;46
39;46;53;61;61;46
40;51;59;71;58;46
41;52;57;68;55;46
42;50;56;65;55;46
43;52;55;65;52;46
44;49;54;62;51;46
45;46;53;61;46;46
46;47;51;56;47;46
47;46;51;57;55;46
48;47;55;65;58;46
49;48;58;68;48;46
50;47;51;58;47;46
51;46;51;57;50;46
52;47;53;60;53;46
53;50;54;63;50;46
54;47;52;60;52;46
55;49;54;62;50;46
56;47;52;60;49;46
57;46;51;59;52;46
58;49;54;62;51;46
59;46;53;61;46;46
60;47;51;56;49;46
61;46;51;59;54;46
62;49;54;64;51;46
63;46;53;61;52;46
64;49;54;62;55;46
65;52;55;65;55;46
66;50;56;65;50;46
67;47;53;60;52;46
68;49;53;62;49;46
69;46;51;59;50;46
70;47;52;60;47;46
71;46;51;57;48;46
72;47;51;58;51;46
73;48;53;61;48;46
74;47;51;58;47;46
75;46;51;57;55;46
76;47;55;65;60;46
77;52;59;70;63;46
78;53;61;73;60;46
79;52;59;70;52;46
80;47;54;62;51;46
81;46;53;61;52;46
82;47;54;62;53;46
83;48;54;63;48;46
84;47;51;58;47;46
85;46;51;57;48;46
86;47;51;58;47;46
87;46;51;57;46;46
88;47;51;56;49;46
89;46;51;59;54;46
90;49;55;64;51;46
91;46;54;61;50;46
92;47;53;60;47;46
93;46;51;57;55;46
94;47;55;65;60;46
95;52;59;70;52;46
96;47;54;62;57;46
97;52;59;67;56;46
98;51;58;66;66;46
99;56;64;76;65;46
