Numer iteracji;Najlepszy;Sredni;Najgorszy
0;9;12;15
1;9;12;14
2;9;12;14
3;9;11;13
4;9;11;14
5;9;11;12
6;9;11;12
7;9;11;12
8;9;10;11
9;9;10;11
10;9;11;12
11;9;10;11
12;9;10;11
13;9;10;11
14;9;10;11
15;9;11;12
16;9;11;12
17;9;10;11
18;9;11;12
19;9;10;11
20;9;10;11
21;9;11;12
22;9;11;12
23;9;10;11
24;9;10;11
25;9;11;12
26;9;10;11
27;9;10;11
28;9;11;12
29;9;11;12
30;9;11;12
31;9;10;11
32;9;10;11
33;9;10;11
34;9;11;12
35;9;10;11
36;9;10;11
37;9;11;12
38;9;11;12
39;9;11;12
40;9;11;12
41;9;11;12
42;9;10;11
43;9;10;11
44;9;11;12
45;9;11;12
46;9;11;12
47;9;11;12
48;9;10;11
49;9;10;11
50;9;10;11
51;9;11;12
52;9;11;12
53;9;10;11
54;9;10;11
55;9;10;11
56;9;10;11
57;9;10;11
58;9;11;12
59;9;11;12
60;9;11;12
61;9;10;11
62;9;10;11
63;9;11;12
64;9;11;12
65;9;10;11
66;9;10;11
67;9;10;11
68;9;10;11
69;9;11;12
70;9;11;12
71;9;10;11
72;9;11;12
73;9;10;11
74;9;10;11
75;9;10;11
76;9;10;11
77;9;10;11
78;9;11;12
79;9;11;12
80;9;11;12
81;9;10;11
82;9;11;12
83;9;11;12
84;9;10;11
85;9;11;13
86;9;11;12
87;9;10;11
88;9;11;12
89;9;10;11
90;9;10;11
91;9;11;12
92;9;11;12
93;9;11;13
94;9;11;12
95;9;11;12
96;9;10;11
97;9;10;11
98;9;11;12
99;9;11;12
100;9;10;11
