Numer iteracji;Najlepszy;Sredni;Najgorszy
0;80;100;128
1;80;98;124
2;80;96;120
3;80;94;116
4;80;92;112
5;80;91;108
6;80;89;104
7;80;87;100
8;80;86;96
9;80;84;92
10;80;84;88
11;80;83;86
12;80;84;88
13;80;82;85
14;80;84;88
15;80;83;86
16;80;82;85
17;80;82;85
18;80;84;88
19;80;84;89
20;80;82;85
21;80;83;85
22;80;83;86
23;80;84;89
24;80;83;86
25;80;84;88
26;80;83;86
27;80;82;85
28;80;83;86
29;80;83;86
30;80;83;85
31;80;84;88
32;80;82;85
33;80;83;86
34;80;84;89
35;80;84;88
36;80;84;88
37;80;84;89
38;80;82;85
39;80;83;86
40;80;82;85
41;80;84;89
42;80;83;86
43;80;83;86
44;80;82;85
45;80;84;89
46;80;84;89
47;80;83;85
48;80;82;85
49;80;82;85
50;80;84;89
51;80;84;88
52;80;82;85
53;80;83;85
54;80;84;88
55;80;83;85
56;80;83;88
57;80;84;88
58;80;82;85
59;80;83;85
60;80;83;85
61;80;82;85
62;80;82;85
63;80;83;85
64;80;84;88
65;80;83;85
66;80;84;88
67;80;83;86
68;80;83;86
69;80;84;88
70;80;83;86
71;80;83;86
72;80;83;85
73;80;84;89
74;80;82;85
75;80;83;86
76;80;84;88
77;80;82;85
78;80;83;86
79;80;83;88
80;80;83;85
81;80;83;85
82;80;82;85
83;80;84;88
84;80;83;86
85;80;83;85
86;80;84;89
87;80;82;85
88;80;82;85
89;80;83;85
90;80;83;85
91;80;83;86
92;80;84;88
93;80;82;85
94;80;82;85
95;80;83;85
96;80;83;86
97;80;83;88
98;80;82;85
99;80;83;85
100;80;83;86
