Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;8
1;62
2;121
3;139
4;130
5;74
6;70
7;39
8;39
9;23
10;19
11;24
12;13
13;9
14;12
15;9
16;8
17;7
18;11
19;8
20;5
21;6
22;7
23;5
24;3
25;2
26;3
27;5
28;3
29;7
30;7
31;6
32;3
33;2
34;5
35;3
36;1
37;2
38;1
39;2
40;3
41;1
42;5
43;1
44;0
45;0
46;0
47;1
48;3
49;2
50;1
51;0
52;2
53;0
54;3
55;4
56;1
57;0
58;0
59;1
60;0
61;0
62;1
63;0
64;0
65;1
66;2
67;0
68;0
69;2
70;4
71;2
72;1
73;3
74;1
75;1
76;0
77;1
78;1
79;1
80;2
81;0
82;0
83;1
84;3
85;0
86;0
87;1
88;0
89;0
90;1
91;0
92;0
93;0
94;0
95;1
96;0
97;0
98;2
99;2
